name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
chameneosredux,csharpcore,1,6000000,1400,23.967,65052,0,85% 98% 71% 92%,6.989
chameneosredux,python3,2,60000,908,3.570,10472,0,48% 26% 13% 48%,2.630
chameneosredux,python3,2,600000,908,32.760,10564,0,47% 25% 26% 48%,22.081
chameneosredux,python3,2,6000000,908,317.359,10688,0,40% 34% 33% 40%,209.169
chameneosredux,gpp,5,60000,1994,0.050,0,0,100% 100% 33% 0%,0.026
chameneosredux,gpp,5,600000,1994,0.463,700,0,96% 100% 25% 28%,0.243
chameneosredux,gpp,5,6000000,1994,2.712,3584,0,100% 100% 99% 99%,0.690
chameneosredux,ocaml,3,60000,1155,8.892,5720,0,48% 27% 25% 49%,5.725
chameneosredux,ocaml,3,600000,1155,97.993,5844,0,37% 37% 37% 37%,63.885
chameneosredux,ocaml,3,6000000,1155,955.298,5908,0,35% 39% 38% 36%,624.872
chameneosredux,java,4,60000,1615,1.296,34532,0,67% 82% 80% 59%,0.462
chameneosredux,java,4,600000,1615,2.939,33800,0,85% 93% 67% 84%,0.898
chameneosredux,java,4,6000000,1615,17.276,36052,0,97% 98% 53% 98%,5.031
chameneosredux,sbcl,3,60000,2922,0.069,0,0,60% 25% 25% 50%,0.044
chameneosredux,sbcl,3,600000,2922,0.420,0,0,94% 67% 61% 44%,0.167
chameneosredux,sbcl,3,6000000,2922,3.883,19956,0,95% 98% 99% 96%,1.013
chameneosredux,rust,1,60000,1455,3.135,2116,0,54% 58% 37% 37%,1.702
chameneosredux,rust,1,600000,1455,25.724,2004,0,48% 46% 61% 59%,12.275
chameneosredux,rust,1,6000000,1455,261.121,2000,0,60% 57% 52% 51%,121.844
chameneosredux,yarv,1,60000,923,2.194,9156,0,35% 27% 39% 38%,1.512
chameneosredux,yarv,1,600000,923,22.727,9088,0,40% 42% 27% 32%,15.434
chameneosredux,yarv,1,6000000,923,226.811,9172,0,37% 37% 32% 32%,156.502
chameneosredux,racket,2,60000,855,2.738,85832,0,100% 1% 1% 0%,2.739
chameneosredux,racket,2,600000,855,24.848,107148,0,45% 0% 1% 56%,24.853
chameneosredux,racket,2,6000000,855,249.907,107480,0,84% 1% 1% 17%,249.939
chameneosredux,java,2,60000,1429,0.956,976,0,83% 42% 46% 63%,0.409
chameneosredux,java,2,600000,1429,3.157,57332,0,85% 82% 54% 61%,1.128
chameneosredux,java,2,6000000,1429,24.065,75412,0,96% 61% 86% 65%,7.834
chameneosredux,gnat,5,60000,2921,0.411,0,0,81% 38% 33% 76%,0.173
chameneosredux,gnat,5,600000,2921,4.624,4460,0,72% 83% 84% 43%,1.692
chameneosredux,gnat,5,6000000,2921,32.294,4524,0,85% 51% 36% 82%,12.647
chameneosredux,perl,4,60000,789,5.823,12136,0,36% 24% 33% 37%,4.539
chameneosredux,perl,4,600000,789,58.250,12172,0,37% 26% 34% 36%,42.759
chameneosredux,perl,4,6000000,789,566.520,12192,0,31% 34% 34% 33%,419.390
chameneosredux,go,5,60000,957,0.322,0,0,67% 73% 70% 64%,0.116
chameneosredux,go,5,600000,957,3.276,1532,0,73% 74% 74% 74%,1.125
chameneosredux,go,5,6000000,957,31.812,1532,0,72% 75% 74% 72%,10.943
chameneosredux,chapel,2,60000,1210,0.120,0,0,100% 80% 50% 50%,0.047
chameneosredux,chapel,2,600000,1210,0.759,2120,0,96% 87% 61% 91%,0.231
chameneosredux,chapel,2,6000000,1210,6.472,4000,0,99% 99% 58% 98%,1.832
